mid,genre
1,4
2,1
3,4
4,7
5,4
6,15
7,4
8,3
9,0
10,15
11,13
12,4
13,2
14,7
15,13
16,5
17,7
18,4
19,4
20,4
21,5
22,7
23,15
24,7
25,13
26,7
27,3
28,7
29,7
30,7
31,7
32,15
34,7
35,7
36,7
37,6
38,3
39,4
40,7
41,7
42,7
43,7
44,8
45,15
46,7
47,12
48,7
49,13
50,5
52,4
53,1
54,3
55,7
57,7
58,13
59,7
60,8
61,15
62,7
63,4
64,13
65,4
66,14
68,13
69,4
70,0
71,0
72,4
73,16
74,13
76,0
77,6
78,15
79,15
80,3
81,13
82,7
83,7
84,4
85,7
86,7
87,4
88,4
89,15
92,10
93,13
94,13
95,15
96,7
97,5
98,15
99,6
100,15
101,1
102,4
103,14
104,4
105,7
107,11
108,6
110,7
111,15
112,1
113,12
114,7
116,6
117,5
118,4
119,4
121,7
122,13
123,12
124,7
125,4
126,1
129,4
130,7
131,7
132,15
135,4
137,6
140,7
141,4
144,4
145,15
146,1
147,7
148,7
149,15
150,7
151,13
152,10
153,4
154,7
155,7
156,7
157,4
158,1
159,5
160,12
161,7
162,6
163,13
164,12
165,15
166,5
167,7
168,7
169,3
170,5
171,4
172,14
173,0
174,4
175,7
176,4
177,10
178,7
179,7
180,13
181,3
183,10
184,7
185,5
186,4
187,4
188,8
189,8
190,15
191,7
193,7
194,4
195,7
196,14
198,0
199,13
200,15
201,7
202,13
203,4
204,0
205,7
206,6
207,7
208,1
209,7
211,7
213,7
214,16
215,13
216,4
217,7
218,4
219,7
220,10
222,13
223,4
224,13
225,7
227,15
228,4
229,15
230,7
231,4
232,4
233,7
234,4
235,7
236,0
237,4
238,1
239,4
240,15
241,3
242,7
243,8
244,2
245,7
246,6
247,7
248,4
249,7
250,3
251,0
252,13
253,10
254,7
255,4
256,4
257,12
258,3
259,15
260,14
261,7
262,3
263,7
264,7
265,7
266,7
267,4
268,5
269,7
270,13
271,7
272,7
273,14
274,4
275,4
276,13
277,7
278,4
279,7
280,7
281,13
282,7
283,7
285,7
287,13
288,15
289,13
290,5
291,15
292,15
293,7
294,4
295,4
296,7
299,7
300,7
301,7
302,7
303,15
304,4
305,4
306,7
307,7
308,4
309,7
312,4
313,3
314,7
315,0
316,0
317,4
318,5
319,7
320,15
321,7
322,7
324,4
325,4
326,7
327,4
328,10
329,1
330,10
331,7
332,10
333,4
334,7
335,12
336,16
337,7
338,0
339,4
340,7
341,7
342,4
343,3
344,4
345,4
346,7
347,7
348,4
349,0
350,12
351,13
352,7
353,0
354,7
355,3
356,7
357,13
358,7
360,0
361,13
362,3
363,6
364,7
365,7
366,12
367,0
368,4
369,7
370,0
371,4
372,7
373,15
374,3
375,7
376,0
377,13
378,4
379,14
380,4
381,7
382,13
383,17
384,7
387,0
388,7
389,7
390,7
391,5
392,2
393,1
401,15
405,0
407,15
408,7
409,7
410,4
412,7
413,4
414,4
415,15
416,17
417,4
418,7
419,4
420,0
421,1
422,15
423,15
424,7
425,13
426,14
427,13
428,7
429,4
431,5
432,1
433,4
434,0
435,4
436,7
437,4
438,4
439,7
440,4
441,4
442,14
443,1
444,13
445,4
446,7
447,4
448,7
449,4
450,4
451,12
452,7
453,4
454,15
455,3
456,5
457,15
458,7
459,1
460,4
461,7
463,7
464,0
465,7
466,4
467,4
468,13
469,7
470,4
471,4
472,7
473,16
474,15
475,7
476,4
477,7
479,15
480,14
481,15
482,7
483,7
484,1
485,1
486,4
487,4
488,7
489,4
490,15
491,7
492,4
493,5
494,1
495,7
496,13
497,4
498,7
499,13
500,4
501,7
502,3
504,14
505,4
506,8
507,5
508,7
509,13
510,7
511,0
512,14
513,13
514,4
515,7
516,7
517,7
518,4
519,15
520,4
521,5
522,0
523,7
524,7
526,7
527,16
528,4
529,7
531,7
532,4
533,12
534,7
535,7
536,7
537,7
538,7
539,7
540,15
541,0
542,7
543,4
544,5
546,0
547,15
548,15
549,11
550,13
551,11
552,13
553,17
554,7
555,5
556,6
558,3
559,4
561,7
562,4
563,13
564,4
565,7
567,4
568,4
569,4
571,13
573,7
574,7
575,3
577,3
580,7
581,6
582,4
585,4
586,4
587,8
588,1
589,14
590,7
592,0
593,15
594,8
595,13
596,2
597,4
599,17
600,5
603,4
605,13
606,8
608,15
609,3
610,14
611,10
612,4
613,7
614,15
615,4
616,2
617,4
619,4
620,7
621,7
626,4
627,7
628,15
630,13
631,1
632,7
633,4
635,4
637,4
638,13
639,7
640,15
