userId,negative_samples
0,"[6548, 3960, 7713, 884, 2921, 8368, 2774, 8077, 7103, 335, 489, 2906, 3987, 5992, 4969, 5979, 4089, 8471, 3955, 7034, 5306, 4767, 5200, 2058, 1987, 3915, 5913, 3769, 1852, 6736, 3096, 2625, 627, 6012, 8155, 3137, 6502, 8460, 3398, 5694, 1546, 1377, 2002, 3694, 2281, 3271, 8491, 1544, 500, 3588, 7500, 2185, 5386, 2624, 8992, 8022, 6051, 6550, 8814, 2721, 1013, 7571, 5344, 5125, 4046, 1054, 2321, 4769, 1243, 1270, 8506, 8710, 3682, 7820, 8235, 6290, 8361, 5405, 1003, 1627, 4900, 2574, 8804, 7901, 2545, 5697, 2060, 8420, 2908, 7258, 7478, 1927, 8271, 334, 9018, 2196, 5876, 8249, 606]"
1,"[4333, 928, 7729, 2932, 402, 7084, 1126, 225, 8680, 5447, 2194, 4307, 3482, 3286, 5856, 4184, 2888, 2290, 5624, 3933, 5530, 3785, 2538, 3048, 8973, 1784, 4638, 183, 556, 4404, 2902, 486, 403, 1440, 3582, 1035, 5797, 2809, 7845, 1425, 2373, 3749, 5747, 5801, 9058, 5459, 7193, 1017, 6052, 6458, 6190, 6945, 4988, 3381, 5630, 4705, 2372, 4043, 8039, 2431, 5145, 7874, 8963, 3219, 7056, 894, 7618, 5554, 108, 7435, 5159, 8969, 4910, 2306, 2654, 5873, 685, 8826, 5775, 675, 5936, 6953, 7592, 1936, 7411, 4361, 9025, 3906, 1580, 3971, 7104, 134, 1350, 3980, 4261, 7978, 1453, 8565, 3356]"
2,"[1897, 1202, 3378, 1765, 1187, 3043, 8724, 4036, 2022, 8783, 3070, 6931, 2450, 4743, 3053, 1104, 517, 289, 4776, 6329, 3210, 8491, 6113, 4382, 7669, 7597, 3588, 3346, 6930, 2655, 3481, 4235, 7680, 502, 3059, 719, 383, 6015, 2051, 1095, 2280, 1224, 7302, 3657, 563, 4136, 7556, 2667, 1309, 2958, 3896, 4054, 1924, 8589, 8170, 6020, 4905, 705, 6850, 5980, 8647, 4500, 1040, 5003, 6089, 4638, 2116, 5368, 4013, 4923, 1022, 8351, 8209, 7139, 4077, 7757, 5749, 2992, 5460, 8586, 3530, 5882, 2334, 4292, 3556, 6335, 7014, 6567, 4167, 1699, 526, 5388, 3442, 6048, 3260, 1278, 1144, 3255, 62]"
3,"[5561, 1359, 5002, 7913, 8953, 7868, 4467, 6923, 5657, 6717, 3883, 5136, 2722, 3920, 2046, 6827, 4744, 4892, 3846, 3834, 6283, 1531, 7078, 4519, 2402, 5509, 4422, 8502, 3796, 7616, 5700, 960, 6865, 4729, 3272, 3899, 3480, 2459, 1390, 5661, 796, 7374, 2197, 6988, 1445, 9065, 4150, 1611, 680, 5626, 3286, 7645, 1115, 356, 4257, 1289, 4141, 8396, 2421, 1300, 5588, 1629, 7649, 8161, 6281, 2547, 1969, 733, 8310, 3284, 1107, 7174, 876, 2006, 3168, 8365, 6566, 798, 7766, 4743, 2113, 5953, 1761, 1017, 6610, 5669, 3747, 5592, 5138, 1331, 6232, 8908, 5480, 577, 3032, 3520, 2889, 7577, 5905]"
4,"[4132, 6606, 8979, 4414, 2682, 3499, 1735, 7537, 8968, 4410, 6217, 6448, 1048, 1498, 6130, 108, 394, 8316, 8545, 9058, 1297, 6006, 4788, 4252, 8610, 6010, 5154, 4563, 5421, 977, 1666, 4294, 6898, 4984, 3015, 6949, 6697, 8152, 7693, 4291, 939, 4618, 8227, 4149, 3807, 8114, 7230, 4453, 752, 5886, 4112, 2585, 1865, 2557, 1325, 172, 3426, 1463, 4038, 3295, 4177, 6439, 3620, 5325, 3370, 8431, 7305, 7117, 1722, 6289, 98, 805, 1759, 869, 2264, 7645, 3558, 3448, 7700, 2060, 6684, 5193, 5911, 2544, 3377, 2219, 5900, 932, 7466, 3113, 696, 5916, 2591, 5270, 2863, 2153, 4700, 392, 1539]"
5,"[6670, 4667, 8433, 2554, 3070, 8446, 1999, 1448, 2166, 636, 8941, 1416, 1699, 6451, 4398, 1183, 6825, 2736, 1324, 1977, 4845, 3631, 6318, 170, 953, 3033, 5039, 186, 7421, 859, 5371, 2606, 1966, 5231, 7542, 2308, 8788, 4629, 2247, 6175, 5511, 8562, 3133, 585, 3159, 8083, 4977, 1618, 4632, 3329, 8424, 1796, 3875, 6271, 5846, 4081, 8910, 7964, 100, 3497, 6723, 5939, 2207, 5853, 5699, 5043, 6356, 701, 2628, 6412, 5519, 1239, 5245, 4837, 1978, 361, 3833, 3448, 6182, 8608, 841, 8516, 4043, 3610, 1095, 7043, 7139, 1696, 3148, 895, 6894, 289, 6692, 6873, 7882, 714, 5604, 1453, 1352]"
6,"[5214, 7588, 3088, 7235, 1706, 2988, 1606, 2870, 5612, 571, 3185, 7454, 7328, 540, 3225, 3869, 7172, 1184, 8643, 6390, 5541, 591, 6058, 6457, 3254, 3884, 5701, 9060, 8403, 7390, 313, 8283, 8699, 7741, 7629, 6768, 4613, 3010, 2545, 4276, 1639, 4940, 6326, 5673, 683, 7760, 8652, 8014, 4171, 4228, 8702, 5201, 8195, 2421, 5204, 1197, 311, 4792, 8017, 1965, 5570, 3377, 3289, 8109, 3237, 6086, 6855, 8466, 3715, 4614, 2531, 3829, 7153, 1688, 5005, 5585, 3613, 1356, 8684, 2889, 42, 7637, 3572, 5931, 5960, 6740, 5816, 8877, 4823, 5472, 8217, 1728, 7127, 1764, 1935, 8585, 4674, 3580, 1781]"
7,"[7109, 8281, 5037, 2678, 5462, 6969, 1997, 1607, 8627, 1724, 8681, 6105, 53, 8851, 2875, 6047, 7494, 727, 2592, 6349, 4507, 7853, 3362, 1360, 4052, 7707, 372, 6393, 2228, 172, 8325, 6193, 2649, 8692, 1601, 8421, 6810, 6518, 1065, 410, 2963, 8687, 1813, 8541, 7712, 7420, 6448, 8597, 2550, 7319, 8113, 302, 2661, 2734, 3169, 4022, 1387, 1401, 1052, 694, 7722, 1363, 2159, 5469, 2392, 929, 8042, 6436, 7511, 4493, 5287, 1385, 5691, 3459, 8248, 3077, 9042, 7405, 3563, 8033, 419, 5292, 8380, 156, 6230, 1375, 3317, 3383, 4810, 6795, 4961, 8867, 2480, 5234, 6724, 7914, 9058, 2351, 3128]"
8,"[7901, 4229, 3936, 8997, 1506, 8809, 3957, 3123, 884, 6928, 6872, 6997, 1465, 8897, 6353, 6347, 7761, 4343, 8625, 1383, 3745, 2794, 2242, 6202, 1662, 8660, 4559, 273, 629, 348, 6822, 2562, 1999, 5467, 6742, 8431, 5342, 3313, 2758, 7280, 978, 4207, 5612, 7193, 2840, 4175, 789, 6089, 4775, 4363, 6003, 1414, 420, 7996, 4757, 710, 1765, 3462, 4138, 4282, 5175, 707, 1353, 7943, 345, 6139, 5320, 4895, 591, 3536, 1677, 2420, 1316, 946, 3665, 3143, 4198, 3015, 2353, 2223, 7935, 4821, 3541, 1642, 8974, 3919, 3518, 4582, 8975, 3136, 2151, 3691, 4696, 5257, 6615, 684, 5364, 5149, 2560]"
9,"[6347, 4706, 6119, 2641, 1376, 254, 5193, 3649, 4773, 2300, 985, 8986, 44, 8385, 2840, 2272, 3971, 4608, 5110, 6493, 5502, 4150, 2858, 5387, 5564, 7538, 3405, 940, 4365, 7630, 1005, 4614, 4272, 1119, 6455, 6171, 5404, 3362, 2468, 2951, 220, 7420, 2776, 6755, 8736, 6844, 597, 2214, 8146, 6529, 3310, 4962, 6873, 1134, 4900, 4969, 2497, 8931, 5860, 6855, 728, 4166, 2594, 4037, 7509, 6635, 2483, 735, 8338, 8036, 971, 4198, 1714, 2612, 6475, 1900, 1276, 2545, 8226, 4167, 855, 8049, 3588, 3153, 5166, 1767, 1297, 6345, 6164, 6192, 5524, 4603, 6053, 3537, 1094, 302, 1525, 1622, 4065]"
10,"[3213, 8276, 350, 1681, 7951, 8413, 5253, 3389, 3505, 2874, 5030, 3851, 7348, 7537, 418, 2592, 3837, 8850, 1556, 1592, 5958, 990, 2079, 1456, 7186, 2713, 6939, 6593, 6757, 1687, 7708, 3938, 6136, 3486, 2778, 2518, 4757, 6356, 8564, 1227, 3246, 6432, 8694, 428, 6924, 7444, 89, 1269, 1394, 6077, 4803, 8687, 4962, 8588, 8212, 2153, 1724, 6564, 8014, 1976, 7600, 3825, 7870, 2081, 8944, 8304, 2505, 4783, 7567, 3133, 5369, 6322, 1428, 5390, 8303, 1844, 3286, 3569, 2119, 8285, 1594, 1889, 1164, 7259, 8555, 6215, 8837, 6422, 2416, 2464, 8266, 8918, 5566, 617, 2558, 3416, 964, 7679, 6027]"
11,"[3353, 5088, 7231, 7409, 8383, 8270, 2138, 38, 6634, 8632, 2214, 5669, 4877, 5362, 9012, 1163, 1809, 3866, 8388, 193, 1790, 4360, 4564, 6696, 5920, 5635, 2260, 5246, 6080, 7922, 3782, 6161, 8677, 3494, 7822, 5681, 3347, 634, 7240, 4222, 3925, 8098, 5667, 5356, 4937, 8025, 6521, 7522, 4077, 1997, 6502, 5737, 2585, 1453, 638, 7783, 6901, 2711, 87, 9061, 411, 1802, 2747, 1197, 3317, 8539, 6448, 6052, 3428, 3578, 5036, 5824, 8222, 1563, 8828, 5858, 8762, 8778, 8954, 110, 8227, 1727, 2701, 6555, 7884, 46, 6145, 6368, 1799, 5847, 3487, 2503, 3102, 211, 7278, 2592, 6863, 4892, 6330]"
12,"[7351, 5476, 3390, 6213, 3256, 939, 516, 4789, 4097, 7016, 7244, 9025, 4038, 7065, 4706, 8183, 3437, 2627, 1503, 2613, 3845, 2385, 2295, 1394, 7482, 8359, 3735, 169, 5442, 7927, 1574, 7421, 1262, 543, 1386, 1758, 5420, 1064, 4697, 3101, 8466, 40, 8198, 2137, 2422, 5191, 4787, 3459, 2278, 6404, 1883, 3178, 7682, 3986, 4594, 5315, 4692, 8319, 2972, 4725, 1870, 697, 6257, 1903, 7617, 6694, 7034, 7554, 3360, 6764, 384, 1571, 8476, 8025, 3987, 7053, 1115, 2910, 8836, 3728, 649, 4065, 1056, 4773, 149, 5499, 6582, 1087, 8527, 7607, 1772, 7591, 6000, 9033, 2296, 6673, 1007, 602, 237]"
13,"[686, 3185, 5042, 1519, 104, 6926, 2767, 6080, 7763, 4508, 4243, 3033, 5430, 4400, 5809, 399, 5068, 8198, 5536, 5097, 3256, 5829, 6791, 8744, 2666, 1783, 3197, 2915, 3168, 789, 5592, 6033, 4734, 3841, 6355, 8311, 8455, 6403, 7329, 5587, 3529, 253, 4774, 1465, 5449, 252, 4801, 97, 635, 4649, 8080, 6526, 1285, 2684, 4545, 8627, 227, 1276, 5945, 4966, 5552, 8977, 7177, 7687, 8096, 1828, 8116, 6164, 5565, 5297, 7613, 8427, 494, 8030, 3146, 2049, 4859, 7005, 2141, 5613, 3572, 6787, 2148, 8572, 1274, 1386, 6970, 4319, 8237, 6721, 5974, 5362, 8062, 6114, 2372, 8251, 1887, 8704, 3191]"
14,"[6660, 5679, 6997, 4975, 3214, 7989, 7475, 6759, 7274, 3908, 3682, 2913, 7144, 5127, 5425, 9042, 7917, 6622, 3802, 7045, 3196, 2426, 8052, 8532, 3481, 254, 3291, 6746, 8083, 108, 8519, 5408, 4161, 621, 2911, 9047, 4329, 6920, 6715, 7997, 7483, 3988, 6850, 6783, 8887, 6114, 8822, 7780, 3708, 5436, 426, 2836, 5907, 6500, 4749, 8005, 7328, 8006, 5553, 6523, 6565, 8815, 4849, 4203, 6281, 4636, 4054, 544, 8537, 6476, 6280, 8837, 8601, 7958, 7015, 7688, 8665, 3745, 8000, 6223, 4235, 7486, 6521, 3557, 8415, 4314, 4997, 2568, 2165, 2509, 5314, 8242, 3443, 3250, 2731, 7105, 7491, 4642, 5432]"
